system:time_start,constant_max,constant_mean,constant_min
"Feb 21, 2019",26.447,0.235,-41.667
"Feb 24, 2019",437.5,0.26,-74.167
"Feb 26, 2019",20.246,-0.06,-13.913
"Feb 28, 2019",25.882,0.263,-20
"Mar 3, 2019",6.321,0.234,-39.286
"Mar 5, 2019",1.389,0.261,-2
"Mar 6, 2019",8.182,"-13,830,812,700.629","-108,086,391,056,891.864"
"Mar 10, 2019",,,
"Mar 11, 2019",,,
"Mar 16, 2019",,,
"Mar 18, 2019",,,
"Mar 21, 2019",3.983,0.15,-22.692
"Mar 23, 2019","222,928,181,554,839.512","28,526,051,195.819",-995
"Mar 25, 2019",0.4,0.245,0.064
"Mar 26, 2019",25,0.127,-77.5
"Mar 28, 2019",,,
"Mar 30, 2019",88.214,0.099,-56.667
"Apr 2, 2019",0.443,0.102,-0.427
"Apr 4, 2019",,,
"Apr 5, 2019",115.556,0.018,-179.375
"Apr 9, 2019",12.44,0.142,-2.659
"Apr 10, 2019",191.667,0.075,-105.833
"Apr 12, 2019",139.07,0.053,-42.044
"Apr 14, 2019",0.42,0.052,-131.111
"Apr 15, 2019",237.5,-0.04,-187.5
"Apr 17, 2019",16.26,0.037,-31.65
"Apr 19, 2019",487.5,0.043,-355.937
"Apr 20, 2019",0.443,0.081,-7.366
"Apr 22, 2019",36.4,0.082,-65.378
"Apr 24, 2019",0.44,0.236,-0.721
"Apr 25, 2019",0.402,0.199,-0.705
"Apr 27, 2019",0.366,0.2,-0.341
"Apr 29, 2019",0.4,0.221,-0.124
"Apr 30, 2019",0.386,0.203,-0.099
"May 4, 2019",,,
"May 5, 2019",0.328,0.095,-0.077
"May 10, 2019",,,
"May 15, 2019",0.448,0.187,-0.024
"May 17, 2019",0.408,0.212,-0.012
"May 19, 2019",1.69,0.383,0.165
"May 20, 2019",,,
"May 27, 2019",1.512,0.279,-0.039
"May 29, 2019","1,145",0.451,-422.5
"Jun 1, 2019",28.159,0.309,-23.75
"Jun 3, 2019",,,
"Jun 4, 2019",330.526,0.292,-232.5
"Jun 6, 2019",0.785,0.266,-0.015
