Dates,EVI_mean,LSWI_mean
2017-03-31,0.13696684804549883,0.6521559164685404
2017-04-01,0.1394048029173178,0.6410010606680256
2017-04-02,0.14186670406739388,0.629792587354634
2017-04-03,0.14435248847942747,0.6185296665902618
2017-04-04,0.14686174021806447,0.607212068330426
2017-04-05,0.14939370402699922,0.5958401888958574
2017-04-06,0.1519473013100409,0.5844150528409049
2017-04-07,0.1545211483462062,0.5729382913027298
2017-04-08,0.15711357654070193,0.5614120988906369
2017-04-09,0.15972265448493447,0.5498391719602784
2017-04-10,0.1623462115673055,0.5382226315797635
2017-04-11,0.164981862881728,0.5265659347070264
2017-04-12,0.16762703519395603,0.5148727770547402
2017-04-13,0.1702789937676378,0.5031469907735384
2017-04-14,0.17293486992520882,0.49139243958781054
2017-04-15,0.1755916893148078,0.47961291338038664
2017-04-16,0.17824640098846756,0.46781202356595586
2017-04-17,0.1808959075766196,0.455993100090293
2017-04-18,0.1835370970968619,0.44415909063906445
2017-04-19,0.18616687903243315,0.4323124611787925
2017-04-20,0.18878223141143177,0.4204550904688887
2017-04-21,0.19138025501553896,0.408588149322435
2017-04-22,0.19395823757160524,0.39671195977423696
2017-04-23,0.19651373859026586,0.3848258286646952
2017-04-24,0.1990447177662662,0.3729278444625806
2017-04-25,0.20154975601556804,0.3610146119899136
2017-04-26,0.20402849570478074,0.3490808274154328
2017-04-27,0.20648258462806587,0.3371184255313492
2017-04-28,0.20891744599963666,0.3251151228160275
2017-04-29,0.21134556267373006,0.313051891732578
2017-04-30,0.21379228347295956,0.3008985722108134
2017-05-01,0.21630434195369694,0.2886071107164864
2017-05-02,0.21895535620392897,0.27610562342912676
2017-05-03,0.22143123563752076,0.26495543467489785
2017-05-04,0.22393916508227166,0.25424099773243
2017-05-05,0.22648310075996694,0.2439272857658351
2017-05-06,0.22906465100637172,0.23396448670874667
2017-05-07,0.23168238744723155,0.2243004374752545
2017-05-08,0.234331276563142,0.2148917967328777
2017-05-09,0.23700251613973433,0.20571179130208325
2017-05-10,0.2396838304895019,0.19675319467820135
2017-05-11,0.242360232206083,0.1880265993161032
2017-05-12,0.24501518130085997,0.1795552119444478
2017-05-13,0.24763193015410084,0.17136815255846327
2017-05-14,0.25019478108322724,0.16349397157762663
2017-05-15,0.25269027879584566,0.15595542224402625
2017-05-16,0.25510814326935927,0.14876622554057142
2017-05-17,0.25744177907617793,0.1419300212220367
2017-05-18,0.25968831948851234,0.1354412412105625
2017-05-19,0.26184827106413794,0.12928736519862133
2017-05-20,0.2639248976777451,0.12345189823324247
2017-05-21,0.26592351433151545,0.117917523428495
2017-05-22,0.2678508481302125,0.11266909908862194
2017-05-23,0.2697145794505334,0.10769799020647645
2017-05-24,0.27152317792564,0.10300758242617497
2017-05-25,0.2732860347061878,0.0986195193316776
2017-05-26,0.27501375963747504,0.09457939636952482
2017-05-27,0.27671841333039343,0.09095909254280993
2017-05-28,0.2784134366999541,0.08785010704430725
2017-05-29,0.2801127425999481,0.08534564068322865
2017-05-30,0.2818282143099123,0.08352562633517929
2017-05-31,0.2835677167914434,0.08244366829298345
2017-06-01,0.28533447878587764,0.08211753982370018
2017-06-02,0.2871277473823192,0.08252703441772244
2017-06-03,0.28894431260928627,0.08361974717250868
2017-06-04,0.29078035066806,0.08532255043227202
2017-06-05,0.2926330817725903,0.08755473966078242
2017-06-06,0.29450182698694016,0.09023887093864744
2017-06-07,0.29638784862908596,0.09330652725939134
2017-06-08,0.29829313041084277,0.09669936729958564
2017-06-09,0.3002197373625874,0.1003698235767941
2017-06-10,0.30216945573088094,0.10428007832128655
2017-06-11,0.3041434899348464,0.10839924888510989
2017-06-12,0.30614217032841234,0.11269971298308176
2017-06-13,0.3081645468717555,0.11715354431108226
2017-06-14,0.31020805884301716,0.12173004322406868
2017-06-15,0.3122684106323785,0.12639604143465194
2017-06-16,0.3143396734524627,0.13111708253360355
2017-06-17,0.3164145265910824,0.135858757446466
2017-06-18,0.3184845897872797,0.14058806292748235
2017-06-19,0.32054081232126347,0.14527464508918284
2017-06-20,0.3225738845551605,0.14989181177817495
2017-06-21,0.32457464065960767,0.15441723782382302
2017-06-22,0.3265344268664929,0.15883333550435558
2017-06-23,0.32844541705319774,0.16312725684012547
2017-06-24,0.33030086568341027,0.16729053030934102
2017-06-25,0.332095576149745,0.17131843275170242
2017-06-26,0.33382701584993973,0.17520933854757817
2017-06-27,0.3354952642705332,0.17896392331833905
2017-06-28,0.337102186422882,0.18258441382971716
2017-06-29,0.33865166657529644,0.1860741087027675
2017-06-30,0.34014962521003234,0.18943715768963187
2017-07-01,0.34160335777659484,0.1926785878424665
2017-07-02,0.34302033033547985,0.19580442261008474
2017-07-03,0.34440671426013314,0.19882214177818353
2017-07-04,0.3457660416678518,0.20174128695746438
2017-07-05,0.34709855908641685,0.20457275776957318
2017-07-06,0.34840166270660905,0.20732725139143077
2017-07-07,0.3496704367134042,0.2100138143530966
2017-07-08,0.35089819708720915,0.21263875497534307
2017-07-09,0.3520774706262263,0.21520540625830378
2017-07-10,0.3532013872258894,0.21771436110892514
2017-07-11,0.3542651242542443,0.22016393798022615
2017-07-12,0.3552664594070651,0.22255009702683362
2017-07-13,0.3562049567881618,0.22486528187329285
2017-07-14,0.3570809732666455,0.22709792607779658
2017-07-15,0.3578949351774537,0.22923296977741733
2017-07-16,0.35864714642138573,0.2312531995071744
2017-07-17,0.35933775927828937,0.23314054214507457
2017-07-18,0.3599667932026601,0.2348771436987925
2017-07-19,0.36053398173163376,0.23644640140563888
