Dates,EVI_mean,LSWI_mean
2017-04-11,0.23868948814458732,0.2396389950639049
2017-04-12,0.2425078439525745,0.24290999509894334
2017-04-13,0.2462871494877709,0.24615373771852636
2017-04-14,0.2500267685904845,0.2493691255432383
2017-04-15,0.25372653464279143,0.252555189942741
2017-04-16,0.2573867407583217,0.2557111060836139
2017-04-17,0.26100811828097525,0.25883620838514854
2017-04-18,0.264591804586499,0.26193000637960434
2017-04-19,0.26813930145449627,0.26499220103568427
2017-04-20,0.2716524254854099,0.2680227017040269
2017-04-21,0.2751332521778966,0.2710216439734704
2017-04-22,0.27858405532569797,0.27398940891078927
2017-04-23,0.2820072433449604,0.2769266444060705
2017-04-24,0.2854052939883432,0.2798342896853078
2017-04-25,0.2887806886488413,0.28271360449573235
2017-04-26,0.29213584709383056,0.28556620507973474
2017-04-27,0.2954730630074894,0.2883941098673954
2017-04-28,0.29879444012326045,0.2911997989221382
2017-04-29,0.3021018499503744,0.2939862613332511
2017-04-30,0.3053969588336224,0.2967569174331114
2017-05-01,0.308681189359843,0.2995154521832594
2017-05-02,0.3119556573851234,0.3022656879399338
2017-05-03,0.3152211309045612,0.3050115987434724
2017-05-04,0.3184779578938249,0.3077573580574306
2017-05-05,0.32172593953451356,0.3105073812174245
2017-05-06,0.32496410363209405,0.3132663407614054
2017-05-07,0.3281902794462454,0.31603909596452495
2017-05-08,0.3314002800433233,0.31883039788664547
2017-05-09,0.33458630963989044,0.3216440804975975
2017-05-10,0.33773391192814745,0.3244811485976147
2017-05-11,0.3408166369306176,0.32733546026192795
2017-05-12,0.3437879085100185,0.33018544105832875
2017-05-13,0.3465732171614526,0.3329822797148626
2017-05-14,0.34907941633893375,0.33564705663824085
2017-05-15,0.3506706968497202,0.3375692189924144
2017-05-16,0.3520918421356809,0.33936029880014057
2017-05-17,0.3533494005806032,0.341000902229541
2017-05-18,0.3544508882549183,0.3424761333553992
2017-05-19,0.35540916694896174,0.34377846234959913
2017-05-20,0.35624196766987165,0.34490812042573743
2017-05-21,0.35697118784974285,0.3458727115814583
2017-05-22,0.357622196696485,0.34668666265289655
2017-05-23,0.3582228225616536,0.34737049244290635
2017-05-24,0.35880207395066194,0.34794986649948106
2017-05-25,0.3593886673572729,0.3484544382513924
2017-05-26,0.3600094167169299,0.34891648922346924
2017-05-27,0.3606874878274032,0.3493693749444287
2017-05-28,0.3614409883101723,0.3498459006913304
2017-05-29,0.3622821688749592,0.35037666798536293
2017-05-30,0.36321735609834477,0.35098835401463546
2017-05-31,0.36424767563901805,0.35170189340049424
2017-06-01,0.36537014407841095,0.3525309287376319
2017-06-02,0.36657808602991865,0.3534822743879718
2017-06-03,0.36786243318363077,0.3545582963914891
2017-06-04,0.3692132067566727,0.35575936683063963
2017-06-05,0.3706202207018657,0.357084364781494
2017-06-06,0.37207324523898466,0.3585304706217697
2017-06-07,0.3735626223647794,0.3600929395847404
2017-06-08,0.37507975177891595,0.361764727965698
2017-06-09,0.3766172717662769,0.36353551437560205
2017-06-10,0.3781687122906915,0.3653920163719161
2017-06-11,0.379728245266504,0.36731859571362524
2017-06-12,0.3812913878142034,0.3692976530900618
2017-06-13,0.38285534873787525,0.3713105067917001
2017-06-14,0.38441885545453064,0.3733384044470341
2017-06-15,0.3859816163432931,0.3753634513303156
2017-06-16,0.387543757608073,0.37736939628847943
2017-06-17,0.38910564287989174,0.3793422270947651
2017-06-18,0.39066804064797395,0.38127032948377526
2017-06-19,0.3922328158836918,0.38314387042278064
2017-06-20,0.39380317799280745,0.38495462394451946
2017-06-21,0.3953825943871762,0.3866958013189353
2017-06-22,0.3969746977042699,0.3883621821038944
2017-06-23,0.39858314937573885,0.38995028046009333
2017-06-24,0.40021135024381954,0.3914584156675242
2017-06-25,0.4018620753278287,0.392886684182732
2017-06-26,0.40353701838568273,0.39423683474049664
2017-06-27,0.4052362479481135,0.3955120432990054
2017-06-28,0.4069576177021475,0.3967165851849655
2017-06-29,0.40869624021195117,0.3978554081270046
2017-06-30,0.41044407943448125,0.398933581845205
2017-07-01,0.41218981782549047,0.39995566364660273
2017-07-02,0.4139192476241087,0.40092519391894094
2017-07-03,0.41561606285156777,0.4018443134044181
2017-07-04,0.4172630574899771,0.40271342545461297
2017-07-05,0.4188436460153538,0.40353069617050275
2017-07-06,0.42034350032443957,0.40429107659257285
2017-07-07,0.4217518284465321,0.40498598312080597
2017-07-08,0.42306067761190325,0.40560316390263973
2017-07-09,0.4242592712050517,0.4061266456084217
2017-07-10,0.42533128264026826,0.40653714409980934
2017-07-11,0.42625332301564406,0.4068133002420256
2017-07-12,0.4269944909403157,0.40693599700716426
2017-07-13,0.4275168112403486,0.4068919038959832
2017-07-14,0.42777670187803657,0.4066763625706059
2017-07-15,0.427726701215531,0.40629348492036765
2017-07-16,0.4273193044260776,0.40575418389081425
2017-07-17,0.4265119590610186,0.4050758931403759
2017-07-18,0.4252726825187096,0.404282494865415
2017-07-19,0.4235846185325023,0.40340388749413536
2017-07-20,0.4214478332403432,0.4024753137477552
2017-07-21,0.4188788576510665,0.40153630184543465
2017-07-22,0.415907481272369,0.40062831248536296
2017-07-23,0.41257046100489886,0.39979256290904797
2017-07-24,0.4089083203628352,0.3990685904688188
2017-07-25,0.40495944105810133,0.3984924345048067
2017-07-26,0.4007517098820726,0.39809700654807717
2017-07-27,0.39629996543675766,0.397912831403727
2017-07-28,0.3916071427166576,0.39796838638268417
2017-07-29,0.3866670846664941,0.39828996736734995
2017-07-30,0.3814680995162088,0.3989011118608144
